"","Perioden","PrijsindexVerkoopprijzen_1","OntwikkelingTOVVoorgaandePeriode_2","OntwikkelingTOVEenJaarEerder_3","VerkochteWoningen_4","OntwikkelingTOVVoorgaandePeriode_5","OntwikkelingTOVEenJaarEerder_6","GemiddeldeVerkoopprijs_7","TotaleWaardeVerkoopprijzen_8"
"138","2003MM02",66.2,0.3,4.5,13396,13.2,-5.4,200118,2681
"139","2003MM03",66.3,0.3,4,14359,7.2,-21.6,199880,2870
"140","2003KW01",66.1,1.1,4.4,39587,-25.8,-10.8,200535,7939
"141","2003MM04",66.5,0.3,4,15163,5.6,4.3,202536,3071
"142","2003MM05",66.8,0.4,3.5,16675,10,-5.1,202497,3377
"143","2003MM06",67,0.3,3.6,14440,-13.4,-9.6,204760,2957
"144","2003KW02",66.8,0.9,3.7,46278,16.9,-3.8,203216,9404
"145","2003MM07",67.2,0.3,3.1,17510,21.3,-11.6,204826,3587
"146","2003MM08",67.4,0.3,2.7,16045,-8.4,-6.4,204982,3289
"147","2003MM09",67.5,0.1,2.7,16810,4.8,7.5,205430,3453
"148","2003KW03",67.4,0.9,2.9,50365,8.8,-4.2,205078,10329
"149","2003MM10",67.8,0.5,3.5,17357,3.3,7.1,208042,3611
"150","2003MM11",68,0.3,3.8,15168,-12.6,-4.1,205756,3121
"151","2003MM12",68.3,0.5,4.9,24651,62.5,15.6,211410,5211
"152","2003KW04",68,1,4.1,57176,13.5,7.2,208888,11943
"153","2003JJ00",67.1,3.7,3.7,193406,-2.5,-2.5,204829,39615
"154","2004MM01",68.7,0.5,4.2,10329,-58.1,-12.7,204756,2115
"155","2004MM02",69,0.5,4.3,13298,28.7,-0.7,209830,2790
"156","2004MM03",68.8,-0.2,3.8,15624,17.5,8.8,210156,3283
"157","2004KW01",68.8,1.2,4.1,39251,-31.4,-0.8,208625,8189
"158","2004MM04",69.4,0.8,4.3,16496,5.6,8.8,212873,3512
"159","2004MM05",69.6,0.3,4.2,14507,-12.1,-13,212210,3079
"160","2004MM06",69.7,0.2,4.1,16943,16.8,17.3,211950,3591
"161","2004KW02",69.6,1,4.2,47946,22.2,3.6,212346,10181
"162","2004MM07",70.3,0.8,4.6,18386,8.5,5,215940,3970
"163","2004MM08",70.6,0.5,4.8,16909,-8,5.4,217834,3683
"164","2004MM09",70.7,0,4.7,15132,-10.5,-10,218350,3304
"165","2004KW03",70.5,1.4,4.7,50427,5.2,0.1,217298,10958
"166","2004MM10",70.8,0.3,4.4,15450,2.1,-11,214677,3317
"167","2004MM11",70.7,-0.2,4,16519,6.9,8.9,211246,3490
"168","2004MM12",70.7,-0.1,3.4,22348,35.3,-9.3,210150,4696
"169","2004KW04",70.7,0.3,4,54317,7.7,-5,211771,11503
"170","2004JJ00",69.9,4.2,4.2,191941,-0.8,-0.8,212723,40830
"171","2005MM01",71.1,0.5,3.5,11495,-48.6,11.3,214758,2469
"172","2005MM02",71.5,0.6,3.7,13964,21.5,5,214870,3000
"173","2005MM03",71.7,0.2,4.1,15751,12.8,0.8,217110,3420
"174","2005KW01",71.4,1,3.8,41210,-24.1,5,215695,8889
"175","2005MM04",72,0.4,3.8,16662,5.8,1,219695,3661
"176","2005MM05",72.5,0.7,4.2,16913,1.5,16.6,219176,3707
"177","2005MM06",72.5,-0.1,3.9,17017,0.6,0.4,221788,3774
"178","2005KW02",72.3,1.2,4,50592,22.8,5.5,220225,11142
"179","2005MM07",73,0.7,3.8,18704,9.9,1.7,225528,4218
"180","2005MM08",73.3,0.4,3.7,18901,1.1,11.8,225914,4270
"181","2005MM09",73.3,0.1,3.8,18123,-4.1,19.8,229361,4157
"182","2005KW03",73.2,1.2,3.8,55728,10.2,10.5,226905,12645
"183","2005MM10",73.5,0.2,3.7,17789,-1.8,15.1,225765,4016
"184","2005MM11",73.5,0.1,4,17268,-2.9,4.5,224855,3883
"185","2005MM12",73.8,0.4,4.4,24042,39.2,7.6,226399,5443
"186","2005KW04",73.6,0.6,4,59099,6,8.8,225757,13342
"187","2005JJ00",72.6,3.9,3.9,206629,7.7,7.7,222706,46017
"188","2006MM01",74.3,0.6,4.5,13671,-43.1,18.9,228008,3117
"189","2006MM02",74.7,0.6,4.5,15698,14.8,12.4,229291,3599
"190","2006MM03",75,0.4,4.6,18150,15.6,15.2,231013,4193
"191","2006KW01",74.7,1.4,4.5,47519,-19.6,15.3,229580,10909
"192","2006MM04",75.3,0.4,4.6,16245,-10.5,-2.5,232932,3784
"193","2006MM05",75.5,0.3,4.2,18479,13.8,9.3,232135,4290
"194","2006MM06",75.9,0.4,4.7,18479,0,8.6,237713,4393
"195","2006KW02",75.6,1.2,4.5,53203,12,5.2,234316,12466
"196","2006MM07",76.3,0.6,4.6,18819,1.8,0.6,240270,4522
"197","2006MM08",76.6,0.4,4.6,18059,-4,-4.5,241279,4357
"198","2006MM09",76.7,0.1,4.6,17004,-5.8,-6.2,241654,4109
"199","2006KW03",76.5,1.3,4.6,53882,1.3,-3.3,241045,12988
"200","2006MM10",76.7,0.1,4.4,16981,-0.1,-4.5,239211,4062
"201","2006MM11",77,0.3,4.7,16578,-2.4,-4,235660,3907
"202","2006MM12",77,0,4.3,21604,30.3,-10.1,237903,5140
"203","2006KW04",76.9,0.5,4.5,55163,2.4,-6.7,237631,13108
"204","2006JJ00",75.9,4.5,4.5,209767,1.5,1.5,235843,49472
"205","2007MM01",77.6,0.8,4.5,13419,-37.9,-1.8,243160,3263
"206","2007MM02",77.7,0.1,3.9,14487,8,-7.7,240094,3478
"207","2007MM03",78.1,0.6,4.1,17349,19.8,-4.4,244056,4234
"208","2007KW01",77.8,1.1,4.2,45255,-18,-4.8,242522,10975
"209","2007MM04",78.3,0.3,4,15646,-9.8,-3.7,244148,3820
"210","2007MM05",78.6,0.4,4.1,17419,11.3,-5.7,246215,4289
"211","2007MM06",79.2,0.7,4.4,17358,-0.4,-6.1,247323,4293
"212","2007KW02",78.7,1.2,4.2,50423,11.4,-5.2,245955,12402
"213","2007MM07",79.5,0.4,4.2,18221,5,-3.2,249941,4554
"214","2007MM08",80.4,1.1,4.9,19554,7.3,8.3,257921,5043
"215","2007MM09",80.1,-0.4,4.4,14386,-26.4,-15.4,252650,3635
"216","2007KW03",80,1.6,4.5,52161,3.4,-3.2,253679,13232
"217","2007MM10",80.3,0.3,4.6,16833,17,-0.9,251238,4229
"218","2007MM11",80.4,0.1,4.4,18067,7.3,9,252031,4553
"219","2007MM12",80.1,-0.3,4.1,19662,8.8,-9,247650,4869
"220","2007KW04",80.2,0.3,4.3,54562,4.6,-1.1,250208,13652
"221","2007JJ00",79.2,4.3,4.3,202401,-3.5,-3.5,248325,50261
"222","2008MM01",81,1.1,4.4,12192,-38,-9.1,252858,3083
"223","2008MM02",81.3,0.4,4.7,15081,23.7,4.1,256717,3872
"224","2008MM03",81.4,0.1,4.2,13698,-9.2,-21,250160,3427
"225","2008KW01",81.2,1.2,4.4,40971,-24.9,-9.5,253376,10381
"226","2008MM04",81.5,0.1,4,18474,34.9,18.1,255294,4716
"227","2008MM05",81.3,-0.2,3.4,13871,-24.9,-20.4,252098,3497
"228","2008MM06",81.6,0.3,3,15669,13,-9.7,252710,3960
"229","2008KW02",81.4,0.3,3.5,48014,17.2,-4.8,253527,12173
"230","2008MM07",82.2,0.8,3.4,17597,12.3,-3.4,258178,4543
"231","2008MM08",82.6,0.5,2.8,15469,-12.1,-20.9,261948,4052
"232","2008MM09",82.3,-0.5,2.8,15374,-0.6,6.9,258314,3971
"233","2008KW03",82.4,1.1,3,48440,0.9,-7.1,259425,12567
"234","2008MM10",82.1,-0.2,2.3,16568,7.8,-1.6,259137,4293
"235","2008MM11",81.5,-0.7,1.4,11619,-29.9,-35.7,245292,2850
"236","2008MM12",81.6,0.1,1.9,16780,44.4,-14.7,252145,4231
"237","2008KW04",81.7,-0.8,1.9,44967,-7.2,-17.6,252950,11374
"238","2008JJ00",81.7,3.2,3.2,182392,-9.9,-9.9,254918,46495
"239","2009MM01",81.8,0.3,1,8700,-48.2,-28.6,255906,2226
"240","2009MM02",81.1,-0.9,-0.2,8906,2.4,-40.9,247830,2207
"241","2009MM03",80.3,-1,-1.3,9612,7.9,-29.8,240130,2308
"242","2009KW01",81.1,-0.8,-0.2,27218,-39.5,-33.6,247692,6742
"243","2009MM04",79.7,-0.8,-2.1,10073,4.8,-45.5,238277,2400
"244","2009MM05",79.2,-0.6,-2.6,10275,2,-25.9,236447,2429
"245","2009MM06",78.6,-0.8,-3.7,9921,-3.4,-36.7,231684,2299
"246","2009KW02",79.2,-2.4,-2.8,30269,11.2,-37,235495,7128
"247","2009MM07",78.7,0.1,-4.3,13237,33.4,-24.8,235361,3115
"248","2009MM08",78.1,-0.7,-5.5,9572,-27.7,-38.1,231295,2214
"249","2009MM09",77.9,-0.3,-5.3,10425,8.9,-32.2,233504,2434
"250","2009KW03",78.2,-1.2,-5,33234,9.8,-31.4,233608,7764
"251","2009MM10",78,0.1,-5,11385,9.2,-31.3,238827,2719
"252","2009MM11",77.7,-0.4,-4.7,9970,-12.4,-14.2,233663,2330
"253","2009MM12",77.4,-0.4,-5.2,15456,55,-7.9,239605,3703
"254","2009KW04",77.7,-0.7,-4.9,36811,10.8,-18.1,237755,8752
"255","2009JJ00",79.1,-3.2,-3.2,127532,-30.1,-30.1,238259,30386
"256","2010MM01",77.5,0.1,-5.3,7708,-50.1,-11.4,240650,1855
"257","2010MM02",77.7,0.2,-4.3,8892,15.4,-0.2,233902,2080
"258","2010MM03",77.4,-0.3,-3.6,11145,25.3,15.9,236230,2633
"259","2010KW01",77.5,-0.2,-4.4,27745,-24.6,1.9,236712,6568
"260","2010MM04",78,0.8,-2.2,11069,-0.7,9.9,241859,2677
"261","2010MM05",77.5,-0.6,-2.1,9893,-10.6,-3.7,236799,2343
"262","2010MM06",77.6,0.1,-1.3,10929,10.5,10.2,241017,2634
"263","2010KW02",77.7,0.2,-1.9,31891,14.9,5.4,240001,7654
"264","2010MM07",78,0.5,-0.9,12240,12,-7.5,245245,3002
"265","2010MM08",77.8,-0.2,-0.4,10411,-14.9,8.8,242259,2522
"266","2010MM09",77.5,-0.4,-0.5,9747,-6.4,-6.5,245706,2395
"267","2010KW03",77.8,0.1,-0.6,32398,1.6,-2.5,244424,7919
"268","2010MM10",77.2,-0.5,-1.1,9950,2.1,-12.6,241580,2404
"269","2010MM11",76.9,-0.3,-1,10079,1.3,1.1,234732,2366
"270","2010MM12",76.8,-0.2,-0.8,14064,39.5,-9,234739,3301
"271","2010KW04",76.9,-1.1,-1,34093,5.2,-7.4,236733,8071
"272","2010JJ00",77.5,-2,-2,126127,-1.1,-1.1,239530,30211
"273","2011MM01",76.7,-0.1,-1.1,8368,-40.5,8.6,240983,2017
"274","2011MM02",76.5,-0.3,-1.5,9558,14.2,7.5,234444,2241
"275","2011MM03",76.6,0.2,-1,10432,9.1,-6.4,244661,2552
"276","2011KW01",76.6,-0.5,-1.2,28358,-16.8,2.2,240132,6810
"277","2011MM04",76.4,-0.3,-2.1,10068,-3.5,-9,243245,2449
"278","2011MM05",76.2,-0.2,-1.7,9915,-1.5,0.2,240276,2382
"279","2011MM06",76.1,-0.2,-1.9,9549,-3.7,-12.6,241662,2308
"280","2011KW02",76.2,-0.5,-1.9,29532,4.1,-7.4,241736,7139
"281","2011MM07",76.2,0.1,-2.3,10433,9.3,-14.8,248424,2592
"282","2011MM08",75.7,-0.6,-2.7,10009,-4.1,-3.9,241390,2416
"283","2011MM09",75.2,-0.7,-3,10327,3.2,6,246538,2546
"284","2011KW03",75.7,-0.7,-2.7,30769,4.2,-5,245503,7554
"285","2011MM10",75,-0.3,-2.8,9453,-8.5,-5,237499,2245
"286","2011MM11",74.4,-0.7,-3.3,9494,0.4,-5.8,232640,2209
"287","2011MM12",73.7,-1,-4,13133,38.3,-6.6,230582,3028
"288","2011KW04",74.4,-1.8,-3.4,32080,4.3,-5.9,233229,7482
"289","2011JJ00",75.7,-2.3,-2.3,120739,-4.3,-4.3,240059,28984
"290","2012MM01",73.9,0.3,-3.6,7082,-46.1,-15.4,241473,1710
"291","2012MM02",73.6,-0.4,-3.7,7805,10.2,-18.3,237464,1853
"292","2012MM03",72.8,-1.2,-5,9064,16.1,-13.1,230341,2088
"293","2012KW01",73.4,-1.2,-4.1,23951,-25.3,-15.5,235954,5651
"294","2012MM04",72.1,-0.9,-5.6,8236,-9.1,-18.2,231130,1904
"295","2012MM05",71.8,-0.5,-5.8,10182,23.6,2.7,228010,2322
"296","2012MM06",72.5,1,-4.7,16210,59.2,69.8,240443,3898
"297","2012KW02",72.1,-1.8,-5.4,34628,44.6,17.3,234572,8123
"298","2012MM07",69.9,-3.5,-8.2,7451,-54,-28.6,216721,1615
"299","2012MM08",69.4,-0.7,-8.3,8384,12.5,-16.2,214075,1795
"300","2012MM09",69,-0.5,-8.2,7143,-14.8,-30.8,216849,1549
"301","2012KW03",69.5,-3.7,-8.3,22978,-33.6,-25.3,215795,4959
"302","2012MM10",68.9,-0.2,-8.1,8507,19.1,-10,214546,1825
