"","Perioden","PrijsindexVerkoopprijzen_1","OntwikkelingTOVVoorgaandePeriode_2","OntwikkelingTOVEenJaarEerder_3","VerkochteWoningen_4","OntwikkelingTOVVoorgaandePeriode_5","OntwikkelingTOVEenJaarEerder_6","GemiddeldeVerkoopprijs_7","TotaleWaardeVerkoopprijzen_8"
"104","2001MM02",59.2,1.6,14.1,12427,20.2,-8.4,182471,2268
"105","2001MM03",59.4,0.4,13.1,14961,20.4,-2.1,180494,2700
"106","2001KW01",58.9,2.8,13.7,37729,-29.9,-4.8,180341,6804
"107","2001MM04",60.1,1.1,13.1,14634,-2.2,5.5,185999,2722
"108","2001MM05",60.4,0.6,12.2,17049,16.5,-8.3,186441,3179
"109","2001MM06",60.7,0.5,11.2,16508,-3.2,12.8,187336,3093
"110","2001KW02",60.4,2.5,12.2,48191,27.7,2.3,186614,8993
"111","2001MM07",61.4,1.1,10.8,18997,15.1,10.5,190801,3625
"112","2001MM08",61.8,0.7,10.3,18158,-4.4,11.6,192139,3489
"113","2001MM09",62.3,0.9,9.9,15343,-15.5,0.1,191693,2941
"114","2001KW03",61.8,2.4,10.3,52498,8.9,7.6,191524,10055
"115","2001MM10",62.1,-0.3,8.9,17835,16.2,12.9,191792,3421
"116","2001MM11",62.6,0.8,9.1,17309,-2.9,14.5,193508,3349
"117","2001MM12",62.4,-0.4,8.4,22175,28.1,-3.2,191854,4254
"118","2001KW04",62.4,0.9,8.8,57319,9.2,6.5,192334,11024
"119","2001JJ00",60.9,11.2,11.2,195737,3.4,3.4,188397,36876
"120","2002MM01",63,1,8.2,11891,-46.4,15,193092,2296
"121","2002MM02",63.3,0.5,7,14165,19.1,14,193162,2736
"122","2002MM03",63.8,0.7,7.4,18321,29.3,22.5,197257,3614
"123","2002KW01",63.4,1.6,7.5,44377,-22.6,17.6,194834,8646
"124","2002MM04",64,0.3,6.5,14544,-20.6,-0.6,197440,2872
"125","2002MM05",64.6,0.9,6.9,17569,20.8,3.1,199157,3499
"126","2002MM06",64.7,0.2,6.5,15968,-9.1,-3.3,199384,3184
"127","2002KW02",64.4,1.6,6.7,48081,8.3,-0.2,198713,9554
"128","2002MM07",65.2,0.8,6.2,19813,24.1,4.3,201666,3996
"129","2002MM08",65.6,0.7,6.3,17150,-13.4,-5.6,204573,3508
"130","2002MM09",65.7,0.1,5.4,15634,-8.8,1.9,204417,3196
"131","2002KW03",65.5,1.7,5.9,52597,9.4,0.2,203432,10700
"132","2002MM10",65.5,-0.2,5.5,16200,3.6,-9.2,201799,3269
"133","2002MM11",65.5,0,4.6,15815,-2.4,-8.6,200491,3171
"134","2002MM12",65.1,-0.6,4.4,21316,34.8,-3.9,201155,4288
"135","2002KW04",65.4,-0.2,4.8,53331,1.4,-7,201154,10728
"136","2002JJ00",64.7,6.2,6.2,198386,1.4,1.4,199752,39628
"137","2003MM01",65.9,1.2,4.6,11832,-44.5,-0.5,201802,2388
